haul.id;Country;Ship;Gear;Year;SweepLngt;Depth;Fishing line;Size.final..m;Horizontal.opening..m.;Swep.one.side..after.formula…meter;Swept.area;RSA;GroundSpeed;RS
2001:4:DEN:DAN2:TVL:95:40;DEN;DAN2;TVL;2001;75;73;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2001:4:DEN:DAN2:TVL:96:41;DEN;DAN2;TVL;2001;75;69;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.7;1.11
2001:4:DEN:DAN2:TVL:99:42;DEN;DAN2;TVL;2001;75;38;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2001:4:DEN:HAF:TVS:018459:1;DEN;HAF;TVS;2001;60;14;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018460:2;DEN;HAF;TVS;2001;60;24;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018461:3;DEN;HAF;TVS;2001;60;21;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018462:4;DEN;HAF;TVS;2001;60;47;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018463:5;DEN;HAF;TVS;2001;60;27;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018464:6;DEN;HAF;TVS;2001;60;20;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018465:7;DEN;HAF;TVS;2001;60;18;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018466:8;DEN;HAF;TVS;2001;60;25;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018467:9;DEN;HAF;TVS;2001;60;27;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018468:10;DEN;HAF;TVS;2001;60;25;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018469:11;DEN;HAF;TVS;2001;60;28;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018470:12;DEN;HAF;TVS;2001;60;17;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018471:13;DEN;HAF;TVS;2001;60;15;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018472:14;DEN;HAF;TVS;2001;60;22;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018473:15;DEN;HAF;TVS;2001;60;14;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018474:16;DEN;HAF;TVS;2001;60;13;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018477:19;DEN;HAF;TVS;2001;60;16;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018478:20;DEN;HAF;TVS;2001;60;16;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018479:21;DEN;HAF;TVS;2001;60;20;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2001:4:DEN:HAF:TVS:018481:23;DEN;HAF;TVS;2001;60;20;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2002:1:DEN:DAN2:TVL:100:37;DEN;DAN2;TVL;2002;75;74;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3.1;0.97
2002:1:DEN:DAN2:TVL:103:39;DEN;DAN2;TVL;2002;75;74;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:1:DEN:DAN2:TVL:106:41;DEN;DAN2;TVL;2002;75;65;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:1:DEN:DAN2:TVL:109:43;DEN;DAN2;TVL;2002;75;60;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:11:6;DEN;DAN2;TVL;2002;75;44;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
