N;FROMYEAR;STA_FROMDATETIME;VESS_SIGNAL;VESS_NAME;VESS_DISTRICT;TYPE;STA_SAMPTYPE_CODENOID;SAMPTYPE_NAMEENG;STA_SUBDIV_SUBDIV;SUBNAMN;STA_ICESRECT_RUTA;LATSTART_DEG;LONGSTART_DEG;LATSTOP_DEG;LONGSTOP_DEG;STA_DURATION;STA_SPEED;STA_DIST;STA_COURSE;STA_BOTSTART;STA_BOTSTOP;STA_BOTMAX;STA_BOTAVG;GEARMOD_REDSKAP_REDSKKOD;REDSKENG;GEARMOD_NAMEENG;STA_SELECTIONDEVICE;STA_SELECTIONDEVICEMESH;STA_HEADROPEDEPTHMAX;STA_HEADROPEDEPTHMIN;STA_FOOTROPEDEPTH;TOTD_NAMEENG;TOTD_AREA;STA_SWEEPLENGTH;STA_STROPLENGTHDOORFLOATS;STAVALCODE_DESCENG;index;Lat1;Lon1;LATDD;LONGDD;Size.final..m.;Size.final..foot.;Horizontal.opening..m.;Fishing line (foot);Swep both side (after formula) (meter);Swep.both.side..after.formula...foot.;sweep both sides (foot);Swept.area;RSA;RS
973;1993;1993-11-30 06:28;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 03,600;17 56,900;57 02,000;17 56,900;30;3.1;1.6;180;;;;68;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;180;18;Valid;SEPI.1993.253;5703.6;1756.9;57.06;17.948;110.1247842;361.3017856;16.949928;83;93.17485624;305.6917856;1181.102362;0.614496296;0.74;1
974;1992;1992-03-11 15:59;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 02,700;17 57,900;56 59,799;17 56,900;60;3.3;3.3;195;;;;64;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;185;;Valid;SEPI.1992.74;5702.7;1757.9;57.045;17.965;112.7129747;369.793224;16.949928;83;95.76304669;314.183224;1213.910761;0.628938399;0.72;0.9
975;1993;1993-03-11 06:20;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 00,240;17 56,400;57 03,089;17 57,469;60;3;3;10;;;;71;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;185;;Valid;SEPI.1993.61;5700.24;1756.4;57.004;17.94;112.7129747;369.793224;16.949928;83;95.76304669;314.183224;1213.910761;0.628938399;0.72;1
976;1996;1996-12-05 09:43;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 28,200;17 32,900;57 26,600;17 31,800;30;3.5;1.74;200;;;;73;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;;;100;;Valid;SEPI.1996.235;5728.2;1732.9;57.47;17.548;84.43836902;277.0287698;32.67456;160;51.76380902;169.8287698;656.167979;0.471166099;0.96;0.9
977;2009;2009-02-25 11:42;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4363;57 03,187;18 49,673;57 04,623;18 50,257;30;2.9;1.48;13;67;65;;66;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;ADDITIONAL VALID STATIONS NOT USED FOR INDEX CALCULATIONS;SEPI.2009.219;5703.187;1849.673;57.053;18.828;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
978;2004;2004-03-03 06:33;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4363;57 02,460;18 49,770;57 03,920;18 50,450;30;3.1;1.54;14;73;70;;71;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2004.233;5702.46;1849.77;57.041;18.83;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
979;1999;1999-03-19 06:31;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4363;57 05,080;18 54,140;57 03,589;18 52,250;30;3.7;1.86;214;;;;88;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;203;;Valid;SEPI.1999.261;5705.08;1854.14;57.085;18.902;122.0304603;400.3624026;16.949928;83;105.0805323;344.7524026;1332.020997;0.680929969;0.67;0.8
980;1986;1986-10-22 12:05;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4364;57 01,899;19 13,500;57 01,100;19 11,400;30;4.2;2.1;225;;;;160;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;75;45;;;;108;;Valid;SEPI.1986.233;5701.899;1913.5;57.032;19.225;0;0;0;;0;0;;0;;0.7
981;1994;1994-03-01 15:40;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4463;57 49,299;18 07,800;57 47,799;18 06,900;30;3.3;1.7;999;;;;92;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;180;;Valid;SEPI.1994.54;5749.299;1807.8;57.822;18.13;110.1247842;361.3017856;16.949928;83;93.17485624;305.6917856;1181.102362;0.614496296;0.74;0.9
982;1987;1987-10-23 02:15;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4463;57 54,799;18 26,199;57 53,399;18 25,000;30;3.8;1.9;180;;;;98;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;108;;Valid;SEPI.1987.187;5754.799;1826.199;57.913;18.437;0;0;0;;0;0;;0;;0.8
