N;FROMYEAR;STA_FROMDATETIME;VESS_SIGNAL;VESS_NAME;VESS_DISTRICT;TYPE;STA_SAMPTYPE_CODENOID;SAMPTYPE_NAMEENG;STA_SUBDIV_SUBDIV;SUBNAMN;STA_ICESRECT_RUTA;LATSTART_DEG;LONGSTART_DEG;LATSTOP_DEG;LONGSTOP_DEG;STA_DURATION;STA_SPEED;STA_DIST;STA_COURSE;STA_BOTSTART;STA_BOTSTOP;STA_BOTMAX;STA_BOTAVG;GEARMOD_REDSKAP_REDSKKOD;REDSKENG;GEARMOD_NAMEENG;STA_SELECTIONDEVICE;STA_SELECTIONDEVICEMESH;STA_HEADROPEDEPTHMAX;STA_HEADROPEDEPTHMIN;STA_FOOTROPEDEPTH;TOTD_NAMEENG;TOTD_AREA;STA_SWEEPLENGTH;STA_STROPLENGTHDOORFLOATS;STAVALCODE_DESCENG;index;Lat1;Lon1;LATDD;LONGDD;Size.final..m.;Size.final..foot.;Horizontal.opening..m.;Fishing line (foot);Swep both side (after formula) (meter);Swep.both.side..after.formula...foot.;sweep both sides (foot);Swept.area;RSA;RS
1865;2012;2012-09-19 15:35;SIKW;MIMER;;Research vessel;18;Planfish;27;Sub-27 (Östersjön-Väster om Gotland);4361;57 17,910;16 50,510;57 18,600;16 53,100;30;3.2;1.6;67;45;35;;40;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;;;;;;;;75;;Valid;SIKW.2012.4;5717.91;1650.51;57.299;16.842;0;0;0;;0;0;;0;;0.9
1866;1992;1992-03-11 13:50;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 06,100;17 54,900;57 03,100;17 55,199;60;3.1;3.1;180;;;;74;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;185;;Valid;SEPI.1992.73;5706.1;1754.9;57.102;17.915;112.7129747;369.793224;16.949928;83;95.76304669;314.183224;1213.910761;0.628938399;0.72;1
1867;2010;2010-02-25 11:43;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 02,995;17 55,093;57 04,444;17 54,618;30;2.9;1.48;350;74;74;;74;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2010.219;5702.995;1755.093;57.05;17.918;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
1868;1991;1991-08-17 07:43;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 20,160;17 52,619;57 22,799;17 55,000;60;3.1;3.1;20;;;;103;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;185;;Valid;SEPI.1991.163;5720.16;1752.619;57.336;17.877;112.7129747;369.793224;16.949928;83;95.76304669;314.183224;1213.910761;0.628938399;0.72;1
1869;1995;1995-08-17 12:55;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 03,899;17 54,900;57 05,700;17 54,199;30;3.6;1.8;349;;;;76;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;DAN greens botten;7;90;;Valid;SEPI.1995.174;5703.899;1754.9;57.065;17.915;79.26198812;260.0458928;32.67456;160;46.58742812;152.8458928;590.5511811;0.442281894;1.03;0.8
1870;2006;2006-10-10 17:05;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4363;57 09,310;18 56,380;57 07,640;18 57,570;30;3.6;1.8;159;66;82;;75;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PEL. TR. 3.2 M 6MM;0;0;;;;DAN greens flyt;6;;;Valid;SEPI.2006.574;5709.31;1856.38;57.155;18.94;0;0;0;;0;0;;0;;0.8
1871;1995;1995-03-08 11:40;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4363;57 09,700;18 48,900;57 10,500;18 51,699;30;3.5;1.7;65;;;;49;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;DAN greens botten;7;90;40;Valid;SEPI.1995.81;5709.7;1848.9;57.162;18.815;79.26198812;260.0458928;32.67456;160;46.58742812;152.8458928;590.5511811;0.442281894;1.03;0.9
1872;2010;2010-11-17 13:42;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4364;57 18,283;19 03,330;57 19,631;19 04,816;30;3.1;1.57;31;68;67;;68;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2010.680;5718.283;1903.33;57.305;19.056;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
1873;2003;2003-11-19 08:33;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4364;57 16,090;19 05,240;57 14,960;19 03,550;30;2.9;1.48;219;81;81;;81;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2003.718;5716.09;1905.24;57.268;19.087;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
1874;2012;2012-02-27 08:45;OXBH;DANA;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4364;57 13,400;19 03,850;57 12,000;19 03,000;30;3;1.5;;84;82;;83;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;;;;;No oxygen;OXBH.2012.74;5713.4;1903.85;57.223;19.064;42.476928;139.36;42.476928;208;0;0;0;0.237021258;1.91;1
1875;2006;2006-10-10 04:43;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4364;57 25,290;19 54,720;57 23,720;19 56,490;30;3.7;1.8;149;186;207;;195;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PEL. TR. 3.2 M 6MM;0;0;;;;DAN greens flyt;6;;;Valid;SEPI.2006.568;5725.29;1954.72;57.422;19.912;0;0;0;;0;0;;0;;0.8
1876;2014;2014-10-10 11:17;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4364;57 11,000;19 31,836;57 11,872;19 25,370;60;3.6;3.6;284;170;167;173;163.6;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2014.73;5711;1931.836;57.183;19.531;0;0;0;;0;0;;0;;0.8
1877;2012;2012-07-05 17:20;SIKW;MIMER;;Research vessel;18;Planfish;27;Sub-27 (Östersjön-Väster om Gotland);4461;57 37,510;16 51,860;57 37,070;16 52,510;11;3.1;0.57;132;60;55;;57.5;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;;;;;;;;75;;Valid;SIKW.2012.6;5737.51;1651.86;57.625;16.864;0;0;0;;0;0;;0;;1
1878;2008;2008-02-25 10:30;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4463;57 45,170;18 10,090;57 46,670;18 10,190;30;3;1.5;2;99;102;;100;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;;;;;No oxygen;SEPI.2008.200;5745.17;1810.09;57.753;18.168;42.476928;139.36;42.476928;208;0;0;0;0.237021258;1.91;1
1879;2010;2010-10-18 19:55;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4463;57 56,515;18 38,232;57 57,560;18 41,960;45;3.6;2.7;67;98;75;;74;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;0;0;;;;DAN greens flyt;6;;;Valid;SEPI.2010.613;5756.515;1838.232;57.942;18.637;0;0;0;;0;0;;0;;0.8
1880;2009;2009-10-13 15:21;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4463;57 48,560;18 12,690;57 50,960;18 15,790;50;3.5;2.92;34;106;109;;107;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PEL. TR. 3.2 M 6MM;0;0;;;;DAN greens flyt;6;;;Valid;SEPI.2009.636;5748.56;1812.69;57.809;18.212;0;0;0;;0;0;;0;;0.9
1881;2000;2000-11-22 09:32;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4464;57 53,910;19 26,130;57 52,359;19 25,400;30;3.3;1.66;200;49;52;;50;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;;;100;;Valid;SEPI.2000.603;5753.91;1926.13;57.899;19.436;84.43836902;277.0287698;32.67456;160;51.76380902;169.8287698;656.167979;0.471166099;0.96;0.9
1882;2000;2000-10-10 05:08;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4663;58 54,060;18 52,339;58 57,759;18 54,150;60;4;4;14;82;62;;72;321;OTM Otter trawl midwater;MACRO 4 ONE BOAT PELAGIC TRAWL;0;0;;;;DAN greens flyt;6;108;;Invalid;SEPI.2000.508;5854.06;1852.339;58.901;18.872;0;0;0;;0;0;;0;;0.8
1883;1998;1998-09-29 06:01;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4663;58 53,089;18 52,459;58 53,100;18 46,699;45;4;3;270;;;;90;321;OTM Otter trawl midwater;MACRO 4 ONE BOAT PELAGIC TRAWL;0;0;;;;;;108;;Valid;SEPI.1998.565;5853.089;1852.459;58.885;18.874;0;0;0;;0;0;;0;;0.8
1884;2011;2011-09-28 21:28;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;30;Sub-30 (Bottenhavet);5363;62 05,810;18 47,730;62 05,290;18 51,460;30;3.7;1.8;110;82;71;;76;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;0;0;;;;DAN greens flyt;6;;;Valid;OXBH.2011.714;6205.81;1847.73;62.097;18.796;0;0;0;;0;0;;0;;0.8
1885;2010;2010-05-26 05:35;;;;;18;Planfish;27;Sub-27 (Östersjön-Väster om Gotland);4461;57 31,700;16 59,180;57 27,600;16 58,000;315;;;;;;;;314;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR HERRING;;16;;;;;;;;Valid;.2010.3;5731.7;1659.18;57.528;16.986;0;0;0;;0;0;;0;;
1886;2011;2011-04-04 01:15;;;;;18;Planfish;27;Sub-27 (Östersjön-Väster om Gotland);4462;57 31,420;17 06,020;57 37,820;17 07,890;1925;;;;75;76;;75.5;326;PTM Pair trawl midwater;PTM PAIR TRAWL HERRING;;16;;;;;;;;Valid;.2011.1;5731.42;1706.02;57.524;17.1;0;0;0;;0;0;;0;;
1887;2009;2009-08-12 18:32;SHJY;SOLANA;KR - 210;Swedish vessel;18;Planfish;27;Sub-27 (Östersjön-Väster om Gotland);4361;57 19,400;16 50,900;57 18,600;16 51,700;20;2.6;0.87;;31;41;;36;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;;;;;;;;50;;Valid;SHJY.2009.5;5719.4;1650.9;57.323;16.848;0;0;0;;0;0;;0;;1.2
1888;1992;1992-04-07 00:00;SEXR;RÖNNFORS;SIN - 72;Swedish vessel;7;"Project Fat content
";24;Sub-24 (Östersjön-Västra);3958;;;;;;;;;;;;;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;;;;;;;;;;Valid;SEXR.1992.;;;;;0;0;0;;0;0;;0;;
1889;1982;1982-12-01 09:40;SEPM;THETIS;;Swedish vessel;6;BITS;24;Sub-24 (Östersjön-Västra);3958;55 11,900;13 49,600;55 12,800;13 43,800;60;3.5;3.5;300;44;43;;43;319;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR COD;0;0;;;;;;54;;Valid;SEPM.1982.59;5511.9;1349.6;55.198;13.827;42.24757687;138.6075357;14.29512;70;27.95245687;91.70753567;354.3307087;0.235741479;1.93;0.9
1890;2009;2009-11-16 00:00;SMUY;KUNGSÖ;SIN - 59;Swedish vessel;80;Coastal Laboratory - DCF;25;Sub-25 (Östersjön-Södra centrala V);4059;55 36,730;14 27,400;;;;;;;;;;;312;OTB Otter trawl bottom;OTB OTTER TRAWL BOTTOM;1;110;;;;;;;;Valid;SMUY.2009.999;5536.73;1427.4;55.612;14.457;0;0;0;;0;0;;0;;
1891;2011;2011-10-11 00:00;SFC-2755;;SN - 8;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5262;61 32,000;17 19,000;;;105;;;;;;;;314;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR HERRING;;;;;;;;;;Valid;SFC-2755.2011.;6132;1719;61.533;17.317;0;0;0;;0;0;;0;;
1892;1980;1980-04-23 06:40;SEPM;THETIS;;Swedish vessel;6;BITS;24;Sub-24 (Östersjön-Västra);3958;55 14,500;13 07,800;55 15,400;13 13,200;60;3.3;3.3;100;40;42;;41;319;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR COD;0;0;;;;;;;;Valid;SEPM.1980.1;5514.5;1307.8;55.242;13.13;90.87716499;298.1534284;16.33728;80;74.53988499;244.5534284;945;0.507094581;0.9;0.9
1893;2011;2011-05-26 00:00;SFC-7320;TÖREVIK;HA - 16;Swedish vessel;80;Coastal Laboratory - DCF;31;Sub-31 (Bottenviken);6067;65 37,000;22 49,000;;;540;;;;;;;;721;GNS Gillnet set;GNS GILL NET FOR HERRING;;;;;;;;;;Valid;SFC-7320.2011.999;6537;2249;65.617;22.817;0;0;0;;0;0;;0;;
1894;2011;2011-05-04 00:00;SFC-2755;;SN - 8;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5162;61 23,000;17 21,000;;;120;;;;;;;;314;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR HERRING;;;;;;;;;;Valid;SFC-2755.2011.;6123;1721;61.383;17.35;0;0;0;;0;0;;0;;
1895;1981;1981-11-12 06:40;SEPM;THETIS;;Swedish vessel;6;BITS;24;Sub-24 (Östersjön-Västra);3958;55 12,300;13 13,000;55 10,800;13 23,800;120;3.5;7;150;41;43;;42;319;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR COD;0;0;;;;;;;;Valid;SEPM.1981.84;5512.3;1313;55.205;13.217;95.54087713;313.4543213;16.33728;80;79.20359713;259.8543213;1004;0.533118094;0.85;0.9
1896;1989;1989-10-10 15:30;SQAC;PROFESOR SIEDLECKI;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);3860;54 44,000;15 44,000;;;90;3;4.5;;69;72;;70;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;0;51;43;;;;;;Valid;SQAC.1989.9;5444;1544;54.733;15.733;0;0;0;;0;0;;0;;1
1897;1983;1983-10-03 18:05;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;26;Sub-26 (Östersjön-Södra centrala Ö);3864;54 46,500;19 20,000;54 46,500;19 16,000;30;4;2;280;;;;103;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;;;Valid;SEPI.1983.165;5446.5;1920;54.775;19.333;0;0;0;;0;0;;0;;0.8
1898;2000;2000-03-02 12:09;SEPI;ARGOS;;Research vessel;6;BITS;24;Sub-24 (Östersjön-Västra);3958;55 00,000;13 58,099;55 00,500;13 55,500;30;3.1;1.57;287;48;48;;48;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Calibration;SEPI.2000.209;5500;1358.099;55;13.968;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
1899;1998;1998-10-14 11:34;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);3960;55 18,359;15 45,250;55 16,839;15 50,650;60;3.5;3.4;116;;;;96;321;OTM Otter trawl midwater;MACRO 4 ONE BOAT PELAGIC TRAWL;0;0;;;;;;108;;Valid;SEPI.1998.608;5518.359;1545.25;55.306;15.754;0;0;0;;0;0;;0;;0.9
1900;1988;1988-10-13 00:00;Y4RB;EISBÄR;;Research vessel;2;Acoustics (BIAS, Hersur) ;26;Sub-26 (Östersjön-Södra centrala Ö);3963;55 22,000;18 49,000;;;;;;;;;;;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;;;;;;;;;;Invalid;Y4RB.1988.106;5522;1849;55.367;18.817;0;0;0;;0;0;;0;;
1901;2003;2003-11-27 08:45;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4059;55 38,700;14 40,750;55 37,960;14 38,450;30;3;1.53;240;60;62;;61;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2003.747;5538.7;1440.75;55.645;14.679;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
1902;2002;2002-11-26 08:40;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4059;55 41,850;14 24,630;55 41,280;14 27,010;30;3;1.51;113;41;46;;43;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2002.589;5541.85;1424.63;55.698;14.411;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
1903;2009;2009-11-26 13:13;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4059;55 36,709;14 50,672;55 36,386;14 48,524;20;3.8;1.26;255;82;79;;81;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;;;60;;ADDITIONAL VALID STATIONS NOT USED FOR INDEX CALCULATIONS;SEPI.2009.749;5536.709;1450.672;55.612;14.845;63.73284541;209.0972619;32.67456;160;31.05828541;101.8972619;393.7007874;0.355629277;1.28;0.8
1904;2004;2004-03-18 06:24;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4060;55 56,540;15 19,030;55 56,240;15 21,670;30;3.1;1.56;101;46;46;;46;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;ADDITIONAL VALID STATIONS NOT USED FOR INDEX CALCULATIONS;SEPI.2004.289;5556.54;1519.03;55.942;15.317;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
1905;2003;2003-11-21 08:37;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4060;55 50,100;15 56,770;55 50,740;15 59,200;30;3;1.56;66;57;57;;57;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2003.732;5550.1;1556.77;55.835;15.946;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
1906;2003;2003-10-08 18:29;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4060;55 48,390;15 14,910;55 46,810;15 15,070;30;3.2;1.6;177;54;55;;54;321;OTM Otter trawl midwater;MACRO 4 ONE BOAT PELAGIC TRAWL;0;0;;;;DAN greens flyt;6;;;Valid;SEPI.2003.604;5548.39;1514.91;55.807;15.249;0;0;0;;0;0;;0;;0.9
1907;2014;2014-02-18 09:41;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4061;55 52,240;16 04,250;55 52,200;16 01,610;30;3;1.48;268;53;54;;53.5;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Invalid;OXBH.2014.47;5552.24;1604.25;55.871;16.071;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
1908;2004;2004-10-06 20:35;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4061;55 41,860;16 33,740;55 40,680;16 31,550;30;3.4;1.7;226;67;69;;68;321;OTM Otter trawl midwater;MACRO 4 ONE BOAT PELAGIC TRAWL;0;0;;;;DAN greens flyt;6;;;Valid;SEPI.2004.633;5541.86;1633.74;55.698;16.562;0;0;0;;0;0;;0;;0.9
1909;1989;1989-10-16 07:55;SQAC;PROFESOR SIEDLECKI;;Research vessel;2;Acoustics (BIAS, Hersur) ;26;Sub-26 (Östersjön-Södra centrala Ö);4063;55 40,000;18 26,000;;;30;3.5;1.75;;104;107;;105;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;0;80;70;;;;;;Valid;SQAC.1989.19;5540;1826;55.667;18.433;0;0;0;;0;0;;0;;0.9
1910;1997;1997-03-04 09:39;SEPI;ARGOS;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4163;56 02,200;18 55,699;56 00,799;18 54,500;30;3.1;1.57;207;;;;124;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;235;;Valid;SEPI.1997.200;5602.2;1855.699;56.037;18.928;138.5948792;454.7076089;16.949928;83;121.6449512;399.0976089;1541.994751;0.773359426;0.59;1
1911;1980;1980-10-23 14:40;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;26;Sub-26 (Östersjön-Södra centrala Ö);4164;56 13,000;19 33,000;56 12,000;19 37,000;30;4;2;110;75;70;;72;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;;;Valid;SEPI.1980.83;5613;1933;56.217;19.55;0;0;0;;0;0;;0;;0.8
1912;2007;2007-03-12 07:20;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4261;56 32,170;16 55,040;56 33,650;16 55,130;30;3;1.53;2;72;74;;73;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2007.228;5632.17;1655.04;56.536;16.917;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
1913;1985;1985-10-21 03:15;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4262;56 56,000;17 36,800;56 56,400;17 38,800;30;3.4;1.7;999;;;;100;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;;;Valid;SEPI.1985.204;5656;1736.8;56.933;17.613;0;0;0;;0;0;;0;;0.9
1914;1999;1999-10-12 14:15;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4262;56 35,229;17 12,599;56 35,089;17 16,050;30;3.8;1.9;94;69;63;;66;321;OTM Otter trawl midwater;MACRO 4 ONE BOAT PELAGIC TRAWL;0;0;;;;DAN greens flyt;6;108;;Valid;SEPI.1999.556;5635.229;1712.599;56.587;17.21;0;0;0;;0;0;;0;;0.8
1915;2008;2008-11-18 07:13;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 17,756;17 24,944;57 16,272;17 24,666;30;3;1.49;183;73;75;;75;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2008.692;5717.756;1724.944;57.296;17.416;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
1916;1998;1998-12-05 07:23;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 28,540;17 33,280;57 26,919;17 32,239;30;3.5;1.8;199;;;;78;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;185;;Valid;SEPI.1998.739;5728.54;1733.28;57.476;17.555;112.7129747;369.793224;16.949928;83;95.76304669;314.183224;1213.910761;0.628938399;0.72;0.9
1917;1995;1995-12-06 11:49;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4363;57 03,589;18 52,239;57 05,330;18 54,390;30;3.9;1.9;34;;;;86;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;203;18;Valid;SEPI.1995.254;5703.589;1852.239;57.06;18.871;122.0304603;400.3624026;16.949928;83;105.0805323;344.7524026;1332.020997;0.680929969;0.67;0.8
1918;2008;2008-11-19 16:15;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4363;57 02,738;18 49,394;57 04,176;18 50,069;30;3;1.49;15;68;66;;67;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;ADDITIONAL VALID STATIONS NOT USED FOR INDEX CALCULATIONS;SEPI.2008.704;5702.738;1849.394;57.046;18.823;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
1919;1995;1995-08-17 07:02;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4363;57 10,500;18 51,699;57 09,799;18 48,800;30;3.6;1.8;245;;;;47;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;DAN greens botten;7;75;;Valid;SEPI.1995.172;5710.5;1851.699;57.175;18.862;71.49741677;234.5715773;32.67456;160;38.82285677;127.3715773;492.1259843;0.398955586;1.14;0.8
1920;1988;1988-10-25 16:06;Y4RB;EISBÄR;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4365;57 20,000;20 18,000;;;30;3.6;1.8;;;;;239;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;0;40;35;;;;;;Valid;Y4RB.1988.123;5720;2018;57.333;20.3;0;0;0;;0;0;;0;;0.8
1921;1991;1991-11-28 13:28;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4463;57 49,109;18 07,219;57 45,890;18 06,910;60;3.3;3.3;180;;;;92;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;180;;Valid;SEPI.1991.253;5749.109;1807.219;57.818;18.12;110.1247842;361.3017856;16.949928;83;93.17485624;305.6917856;1181.102362;0.614496296;0.74;0.9
1922;2014;2014-10-05 21:38;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4463;57 51,840;18 05,530;57 53,440;18 03,890;29;3.7;1.8;334;80;93;104;87.8;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2014.33;5751.84;1805.53;57.864;18.092;0;0;0;;0;0;;0;;0.8
