FROMYEAR;STA_FROMDATETIME;VESS_SIGNAL;VESS_NAME;VESS_DISTRICT;TYPE;STA_SAMPTYPE_CODENOID;SAMPTYPE_NAMEENG;STA_SUBDIV_SUBDIV;SUBNAMN;STA_ICESRECT_RUTA;LATSTART_DEG;LONGSTART_DEG;LATSTOP_DEG;LONGSTOP_DEG;STA_DURATION;STA_SPEED;STA_DIST;STA_COURSE;STA_BOTSTART;STA_BOTSTOP;STA_BOTMAX;STA_BOTAVG;GEARMOD_REDSKAP_REDSKKOD;REDSKENG;GEARMOD_NAMEENG;STA_SELECTIONDEVICE;STA_SELECTIONDEVICEMESH;STA_HEADROPEDEPTHMAX;STA_HEADROPEDEPTHMIN;STA_FOOTROPEDEPTH;TOTD_NAMEENG;TOTD_AREA;STA_SWEEPLENGTH;STA_STROPLENGTHDOORFLOATS;STAVALCODE_DESCENG;index;Lat1;Lon1;LATDD;LONGDD;Size.final..m.;Size.final..foot.;Horizontal.opening..m.;Fishing line (foot);Swep both side (after formula) (meter);Swep.both.side..after.formula...foot.;sweep both sides (foot);Swept.area;RSA;RS
2015;2015-02-27 08:40;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 060;55 48,900;15 15,300;55 50,100;15 16,990;30;3;2;39;53;49;;52;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.12;5548.9;1515.3;55.815;15.255;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-11-21 13:16;OXBH;DANA;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4 163;56 21,670;18 30,250;56 20,440;18 28,670;30;3;1;217;53;53;;53;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.18;5621.67;1830.25;56.361;18.504;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-10-03 14:52;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);3 959;55 24,944;14 25,912;55 25,496;14 28,213;30;3;1;68.8;47;54;;51;321;OTM Otter trawl midwater;Fotö oneboat pelag floatstock.14;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2016.2;5524.944;1425.912;55.416;14.432;0;0;0;;0;0;;0;;1.1
2015;2015-03-02 09:41;OXBH;DANA;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4 464;57 52,410;19 25,170;57 53,870;19 25,800;30;3;2;12;49;47;;48;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.44;5752.41;1925.17;57.874;19.42;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-11-25 13:10;OXBH;DANA;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4 463;57 43,000;18 16,450;57 44,300;18 18,000;30;3;2;;102;105;;104;316;OTB Otter trawl bottom;TV 112 COD TRAWL;;;;;;"Thyborön 100""";4;75;;No oxygen;OXBH.2015.45;5743;1816.45;57.717;18.274;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-10-08 12:33;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;29S;Sub-29S (Skärgårdshavet, S 59.30);4 765;59 05,440;20 15,830;59 06,040;20 13,390;30;3;1;297;114;106;;110;321;OTM Otter trawl midwater;Fotö oneboat pelag floatstock.14;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2016.43;5905.44;2015.83;59.091;20.264;0;0;0;;0;0;;0;;0.9
2016;2016-11-23 07:17;OXBH;DANA;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4 464;57 40,240;19 03,900;57 41,530;19 05,390;30;3;2;30;35;34;;36;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Invalid;OXBH.2016.29;5740.24;1903.9;57.671;19.065;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-03-01 06:21;OXBH;DANA;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4 363;57 11,870;18 49,920;57 13,070;18 51,380;29;3;1;34;42;44;;43;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.32;5711.87;1849.92;57.198;18.832;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-02-21 07:09;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);3 959;55 27,640;14 31,660;55 27,500;14 29,020;30;3;2;266;60;52;;58;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.2;5527.64;1431.66;55.461;14.528;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-10-02 17:55;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4 262;56 39,964;17 49,769;56 41,003;17 49,147;20;4;1;343;56;60;;57;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2015.20;5639.964;1749.769;56.666;17.829;0;0;0;;0;0;;0;;0.8
